respondent_id,timestamp,department,systems_used,efficiency,practices,storage_cost_share_pct,automation_level,budget_deviation_pct,maturity_level,key_metrics
1,2025-10-08 16:00:00,Разработка / Продукты,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,Автоматическое масштабирование,32.7,полностью автоматизировано,17,установленные процессы,Cost per GB хранения
2,2025-10-06 22:00:00,Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",скорее неэффективно,FinOps-подход,46.1,частично автоматизировано,10.6,развивающийся,Cost per GB хранения
3,2025-10-13 02:00:00,Аналитика / Data Science,Гибридные (облако + локально),скорее неэффективно,Не применяются,27.7,полностью автоматизировано,18.5,системный подход,Стоимость лицензий BI
4,2025-10-08 03:00:00,Финансы / Контроллинг,Другое,эффективно,Не применяются,33.8,частично вручную,27.2,системный подход,Query cost per user
5,2025-10-24 07:00:00,Аналитика / Data Science,Озеро данных (Data Lake),эффективно,Централизация отчётности,34.9,в основном автоматизировано,9.7,начальный уровень,SLA penalties / downtime cost
6,2025-10-02 10:00:00,IT / Инфраструктура,Озеро данных (Data Lake),умеренно,FinOps-подход,38,частично вручную,9.7,системный подход,Cost per GB хранения
7,2025-10-24 17:00:00,Аналитика / Data Science,"Облачные решения (Yandex Cloud, AWS, GCP)",умеренно,Контроль вычислительных мощностей,36.2,частично автоматизировано,27.8,установленные процессы,Query cost per user
8,2025-10-04 04:00:00,Финансы / Контроллинг,Другое,эффективно,Контроль вычислительных мощностей,23.9,частично вручную,19.7,установленные процессы,Стоимость вычислительного часа (vCPU-hour)
9,2025-10-22 17:00:00,Разработка / Продукты,Другое,умеренно,Мониторинг использования ресурсов,19.9,частично автоматизировано,7.3,высокий уровень зрелости,SLA penalties / downtime cost
10,2025-10-25 05:00:00,Разработка / Продукты,Другое,умеренно,Централизация отчётности,38.9,частично автоматизировано,17.4,системный подход,Query cost per user
11,2025-10-20 10:00:00,Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",максимально эффективно,Централизация отчётности,36.5,частично автоматизировано,7.4,высокий уровень зрелости,Процент автоматизации отчётности
12,2025-10-16 02:00:00,Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",максимально эффективно,Не применяются,20,частично вручную,7.3,установленные процессы,Стоимость вычислительного часа (vCPU-hour)
13,2025-10-23 06:00:00,Другое,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,Автоматическое масштабирование,17,в основном автоматизировано,14.4,высокий уровень зрелости,Процент автоматизации отчётности
14,2025-10-19 17:00:00,Разработка / Продукты,Озеро данных (Data Lake),максимально эффективно,FinOps-подход,9.6,полностью автоматизировано,-7.1,развивающийся,Стоимость вычислительного часа (vCPU-hour)
15,2025-10-18 04:00:00,IT / Инфраструктура,Локальные (on-premise) решения,неэффективно,FinOps-подход,25.1,полностью автоматизировано,-5.2,развивающийся,SLA penalties / downtime cost
16,2025-10-14 14:00:00,Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",эффективно,Автоматическое масштабирование,24.7,полностью автоматизировано,6.4,начальный уровень,Cost per analytic job
17,2025-10-06 08:00:00,Операции / Бизнес-подразделение,"Облачные решения (Yandex Cloud, AWS, GCP)",эффективно,FinOps-подход,38.3,полностью автоматизировано,1.9,развивающийся,Стоимость лицензий BI
18,2025-10-25 07:00:00,Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",умеренно,Не применяются,35.9,полностью вручную,15.1,установленные процессы,Cost per GB хранения
19,2025-10-23 23:00:00,IT / Инфраструктура,Озеро данных (Data Lake),умеренно,Не применяются,27.2,полностью автоматизировано,2.9,системный подход,Стоимость лицензий BI
