department,systems_used,practices,avg_storage_share,avg_budget_deviation,total_records,cost_management_effectiveness,system_category,strategic_recommendation
Финансы / Контроллинг,"Облачные решения (Yandex Cloud, AWS, GCP)",Не применяются,28.55714285714286,12.757142857142858,7,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Другое,Мониторинг использования ресурсов,22.844444444444445,13.366666666666667,9,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Локальные (on-premise) решения,FinOps-подход,22.983333333333334,-0.6166666666666663,6,Средняя эффективность,Локальные решения,Эффективные практики — можно масштабировать
IT / Инфраструктура,"BI-платформы (DataLens, Power BI, Tableau)",Контроль вычислительных мощностей,44.375,14.275,4,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Финансы / Контроллинг,Локальные (on-premise) решения,Не применяются,24.9,19.3,2,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Руководство / Менеджмент,Гибридные (облако + локально),FinOps-подход,22.55,14.900000000000002,4,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
IT / Инфраструктура,Локальные (on-premise) решения,Централизация отчётности,37.925,10.925,4,Низкая эффективность,Локальные решения,Требуется пересмотр стратегии управления затратами
Аналитика / Data Science,Гибридные (облако + локально),Централизация отчётности,32.5,6.333333333333333,3,Низкая эффективность,Локальные решения,Оптимизация возможна
Аналитика / Data Science,Гибридные (облако + локально),Регулярный аудит неиспользуемых данных,30.988888888888887,7.611111111111111,9,Низкая эффективность,Локальные решения,Оптимизация возможна
Финансы / Контроллинг,Другое,FinOps-подход,27.360000000000003,12.379999999999999,5,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Другое,Автоматическое масштабирование,31.133333333333336,10.933333333333335,3,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",Централизация отчётности,44.5,7.9,2,Низкая эффективность,Прочие системы,Оптимизация возможна
IT / Инфраструктура,"Облачные решения (Yandex Cloud, AWS, GCP)",Централизация отчётности,27.416666666666668,10.199999999999998,6,Низкая эффективность,Облачные решения,Требуется пересмотр стратегии управления затратами
Разработка / Продукты,"BI-платформы (DataLens, Power BI, Tableau)",Контроль вычислительных мощностей,28.025000000000002,11.075,4,Низкая эффективность,Прочие системы,Требуется пересмотр стратегии управления затратами
Операции / Бизнес-подразделение,Озеро данных (Data Lake),Централизация отчётности,18.633333333333333,18.266666666666666,3,Низкая эффективность,Озера данных,Требуется пересмотр стратегии управления затратами
